City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Dawei,MM,2021-07-17 21:16:07,14.0833,98.2,75.78,95,100,1.28
68,Punta Arenas,CL,2021-07-17 21:16:07,-53.15,-70.9167,39.31,81,75,12.66
69,Cairns,AU,2021-07-17 21:16:07,-16.9167,145.7667,73.35,70,90,9.22
70,Mikun,RU,2021-07-17 21:16:08,62.3547,50.0771,57.83,81,28,5.77
71,Taboga,IT,2021-07-17 21:16:08,46.2663,13.1092,71.89,79,100,8.77
72,Bethel,US,2021-07-17 21:16:00,41.3712,-73.414,84.69,92,77,3.38
73,Taranagar,IN,2021-07-17 21:16:09,28.6709,75.0351,92.98,49,100,7.92
74,Airai,TL,2021-07-17 21:16:09,-8.9266,125.4092,56.01,62,99,2.51
75,Tanabe,JP,2021-07-17 21:16:10,33.7333,135.3667,77.94,83,100,1.01
76,Avarua,CK,2021-07-17 21:15:49,-21.2078,-159.775,78.85,78,40,12.66
77,Atuona,PF,2021-07-17 21:16:10,-9.8,-139.0333,78.28,77,22,26.08
78,Cape Town,ZA,2021-07-17 21:15:01,-33.9258,18.4232,56.1,96,0,1.99
79,Zyryanka,RU,2021-07-17 21:16:11,65.75,150.85,49.44,95,100,25.77
80,Kyren,RU,2021-07-17 21:16:11,51.6828,102.1408,60.01,97,100,4.85
81,Tiznit,MA,2021-07-17 21:16:12,29.5833,-9.5,92.8,23,29,0.74
82,Rocha,UY,2021-07-17 21:16:12,-34.4833,-54.3333,46.8,58,2,14.14
83,Vaini,TO,2021-07-17 21:16:12,-21.2,-175.2,77.16,88,75,8.05
84,Garissa,KE,2021-07-17 21:16:13,-0.4536,39.6401,73.89,70,6,20.04
85,Victoria,HK,2021-07-17 21:11:55,22.2855,114.1577,84.18,90,100,1.01
86,Talnakh,RU,2021-07-17 21:16:13,69.4865,88.3972,53.55,95,98,4.79
87,Broome,US,2021-07-17 21:15:44,42.2506,-75.833,83.55,79,75,8.05
88,La Tuque,CA,2021-07-17 21:16:14,47.4334,-72.7824,84.45,30,100,4.61
89,Kavieng,PG,2021-07-17 21:16:14,-2.5744,150.7967,82.51,78,98,12.39
90,Nioro,GM,2021-07-17 21:16:15,13.35,-15.75,87.15,57,100,6.46
91,Buraydah,SA,2021-07-17 21:16:15,26.326,43.975,97.25,20,42,14.9
92,Asfi,MA,2021-07-17 21:16:15,32.2994,-9.2372,72.46,77,0,17.49
93,Nouadhibou,MR,2021-07-17 21:16:16,20.931,-17.0347,69.78,88,25,11.5
94,Uribia,CO,2021-07-17 21:16:16,11.7139,-72.266,93.7,36,18,23.69
95,Beringovskiy,RU,2021-07-17 21:16:16,63.05,179.3167,53.47,77,100,8.03
96,Hilo,US,2021-07-17 21:16:17,19.7297,-155.09,89.28,81,90,12.66
97,Saldanha,ZA,2021-07-17 21:16:17,-33.0117,17.9442,50.05,86,0,8.9
98,Hermanus,ZA,2021-07-17 21:16:17,-34.4187,19.2345,53.91,90,6,9.28
99,Kondinskoye,RU,2021-07-17 21:16:18,59.6481,67.41,53.65,77,21,6.71
100,Hithadhoo,MV,2021-07-17 21:16:18,-0.6,73.0833,82.15,73,15,3.89
101,Cocobeach,GA,2021-07-17 21:16:18,1.0002,9.5823,76.93,76,83,7.05
102,Zaraza,VE,2021-07-17 21:16:19,9.3503,-65.3245,93.27,32,39,7.78
103,Vrangel,RU,2021-07-17 21:16:19,42.7297,133.0839,70.18,93,0,4.36
104,Portland,US,2021-07-17 21:16:02,45.5234,-122.6762,83.46,46,20,1.99
105,Pestravka,RU,2021-07-17 21:16:20,52.405,49.9583,72.72,60,17,3.98
106,Ormara,PK,2021-07-17 21:16:20,25.2088,64.6357,83.43,86,48,19.51
107,Pochutla,MX,2021-07-17 21:16:10,15.7432,-96.4661,91.81,56,100,6.85
108,Biak,ID,2021-07-17 21:16:20,-0.9131,122.8766,73.42,87,100,1.72
109,Kapaa,US,2021-07-17 21:16:21,22.0752,-159.319,82.72,78,75,3.0
