City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
119,Feldkirchen-Westerham,DE,63.48,clear sky,47.9075,11.8427,Gasthof-Hotel Zur schönen Aussicht
120,Kozhva,RU,47.19,scattered clouds,65.1073,57.0459,Gostinicha IP Kayuda Olga Aleksandrovna
122,Valkeakoski,FI,54.27,scattered clouds,61.2642,24.0312,Hotel Waltikka
124,Ribeira Grande,PT,68.4,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
125,Ladario,BR,70.21,overcast clouds,-19.0047,-57.6017,Hotel Fazenda 4 cantos
127,Labytnangi,RU,54.03,scattered clouds,66.6572,66.4183,Priuralye Hotel
128,Castro,BR,49.55,clear sky,-24.7911,-50.0119,CHACARA BAILLY
129,Nome,US,50.16,scattered clouds,64.5011,-165.4064,Dredge 7 Inn
130,Nikolskoye,RU,56.01,clear sky,59.7035,30.7861,Tourist House - Sablino
131,Shahrud,IR,74.16,clear sky,36.4182,54.9763,Royal Hotel
132,Juneau,US,60.85,light rain,58.3019,-134.4197,"Baranof Downtown, Bw Signature Collection"
133,Paciran,ID,77.77,broken clouds,-6.8767,112.3761,Tanjung Kodok Beach Resort
135,Comodoro Rivadavia,AR,51.66,clear sky,-45.8667,-67.5,Austral Hotel
136,Kodiak,US,55.18,overcast clouds,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
138,Salalah,OM,78.89,drizzle,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
141,Zhigalovo,RU,69.96,clear sky,54.8097,105.1578,"Hotel ""Lenatur"""
142,Atherton,GB,71.55,few clouds,53.5237,-2.4935,The Lion Inn
144,Paamiut,GL,42.17,scattered clouds,61.994,-49.6678,Hotel Ivaana
146,Manjeri,IN,74.08,mist,11.1167,76.1167,ITTC
147,Cape Town,ZA,46.81,light rain,-33.9258,18.4232,Southern Sun Waterfront Cape Town
148,Swan Hill,AU,47.57,overcast clouds,-35.3378,143.5544,Lazy River Motor Inn
150,Puerto Del Rosario,ES,71.35,few clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
