City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
80,Port Macquarie,AU,-31.4333,152.9167,57.88,51,4,5.99,clear sky
81,Bengkulu,ID,-3.8004,102.2655,74.46,85,51,5.17,broken clouds
82,Panaba,MX,21.2833,-88.2667,91.99,43,57,16.89,broken clouds
83,Kavieng,PG,-2.5744,150.7967,82.47,77,99,7.96,light rain
84,Upernavik,GL,72.7868,-56.1549,43.02,80,76,5.93,broken clouds
85,Luderitz,NA,-26.6481,15.1594,53.02,48,0,16.51,clear sky
86,Oranjemund,NA,-28.55,16.4333,51.42,64,1,8.77,clear sky
87,Fortuna,US,40.5982,-124.1573,80.19,68,1,3.0,clear sky
88,Thompson,CA,55.7435,-97.8558,73.56,53,90,3.44,smoke
89,Grindavik,IS,63.8424,-22.4338,55.35,100,90,11.5,overcast clouds
90,Sioux Lookout,CA,50.1001,-91.917,68.07,42,90,8.05,overcast clouds
91,Bethel,US,41.3712,-73.414,77.09,78,40,8.05,scattered clouds
92,Codrington,AU,-38.2667,141.9667,45.84,81,100,11.81,overcast clouds
93,Bubaque,GW,11.2833,-15.8333,80.91,81,100,11.54,overcast clouds
94,Kathmandu,NP,27.7167,85.3167,70.02,100,75,2.3,broken clouds
95,Atikokan,CA,48.7555,-91.6216,70.95,45,100,4.47,overcast clouds
96,Cidreira,BR,-30.1811,-50.2056,53.8,65,0,0.45,clear sky
97,Adrar,MR,20.5022,-10.0711,88.41,10,24,13.11,few clouds
98,Cabo San Lucas,MX,22.8909,-109.9124,96.8,63,24,11.54,few clouds
99,Nantucket,US,41.2835,-70.0995,75.96,84,20,14.2,few clouds
100,Hithadhoo,MV,-0.6,73.0833,81.66,75,100,10.8,overcast clouds
101,Wiarton,CA,44.7407,-81.1332,69.06,56,40,0.0,scattered clouds
102,Honningsvag,NO,70.9821,25.9704,44.22,90,100,24.27,light rain
103,Mandalgovi,MN,45.7625,106.2708,61.21,72,98,12.95,overcast clouds
104,Conde,BR,-7.2597,-34.9075,71.06,94,90,9.22,overcast clouds
105,New Norfolk,AU,-42.7826,147.0587,52.88,78,95,1.01,overcast clouds
106,Ingham,US,42.6,-84.3833,73.02,53,1,5.75,clear sky
107,Vitim,RU,59.4511,112.5578,72.73,57,26,2.15,scattered clouds
108,Merauke,ID,-8.4667,140.3333,78.87,80,98,12.53,overcast clouds
109,Caravelas,BR,-17.7125,-39.2481,68.76,73,4,5.3,clear sky
110,East London,ZA,-33.0153,27.9116,51.28,64,53,22.1,broken clouds
111,Morondava,MG,-20.2833,44.2833,70.81,75,6,7.9,clear sky
112,Atuona,PF,-9.8,-139.0333,77.58,68,78,16.71,broken clouds
113,Saint-Francois,FR,46.4154,3.9054,59.41,93,0,2.3,clear sky
114,Rundu,NA,-17.9333,19.7667,51.85,35,0,7.16,clear sky
115,Mao,ES,39.8885,4.2658,75.76,88,0,3.44,clear sky
116,Te Anau,NZ,-45.4167,167.7167,44.6,86,75,2.01,broken clouds
117,Kang,BW,-23.6752,22.7876,35.19,32,0,9.26,clear sky
118,Geraldton,AU,-28.7667,114.6,55.81,94,90,4.61,overcast clouds
119,Feldkirchen-Westerham,DE,47.9075,11.8427,63.48,85,5,2.39,clear sky
120,Kozhva,RU,65.1073,57.0459,47.19,78,49,11.97,scattered clouds
121,Gushikawa,JP,26.3544,127.8686,81.63,94,90,31.07,heavy intensity rain
122,Valkeakoski,FI,61.2642,24.0312,54.27,76,30,10.58,scattered clouds
123,Clyde River,CA,70.4692,-68.5914,39.43,87,75,10.36,broken clouds
124,Ribeira Grande,PT,38.5167,-28.7,68.4,77,40,4.61,scattered clouds
125,Ladario,BR,-19.0047,-57.6017,70.21,24,85,3.76,overcast clouds
126,Riyadh,SA,24.6877,46.7219,100.54,31,86,8.41,overcast clouds
127,Labytnangi,RU,66.6572,66.4183,54.03,84,35,5.57,scattered clouds
128,Castro,BR,-24.7911,-50.0119,49.55,60,5,2.13,clear sky
129,Nome,US,64.5011,-165.4064,50.16,81,40,13.8,scattered clouds
130,Nikolskoye,RU,59.7035,30.7861,56.01,80,10,5.99,clear sky
131,Shahrud,IR,36.4182,54.9763,74.16,26,0,4.05,clear sky
132,Juneau,US,58.3019,-134.4197,60.85,91,90,10.36,light rain
133,Paciran,ID,-6.8767,112.3761,77.77,80,82,5.77,broken clouds
134,Gizo,SB,-8.103,156.8419,82.11,75,18,7.52,light rain
135,Comodoro Rivadavia,AR,-45.8667,-67.5,51.66,62,0,5.75,clear sky
136,Kodiak,US,57.79,-152.4072,55.18,88,94,6.76,overcast clouds
